parsed_kigo,parsed_haiku
木の実 降る,木の実 降り 裏 戸 に ひびく 金盥
木の実 降る,木の実 降る 家 に 蒟蒻 くろく 煮え
さくらんぼ,木 の 箱 の 釘 すぐ 抜け て さくらんぼ
西日,木 の 瘤 に 西日 が のこり 沼 の 水
青山 椒,夕暮 の 橋 が 短 かく 青山 椒
雷,雷 裂け て 全 山 震 ふ 吉野 杉
田 水 沸く,理髪 店 出る 人 の 影田 水 沸く
麦 埃,裏山 に 日 が さす とき の 麦 埃
緑陰,裏道 に 緑陰 が 見え そこ へ ゆく
蛾,裏返る 大 蛾 に 朝 の 湖 は あり
緑陰,緑陰 や 水際 に 魚 の 匂 ひし て
露,露 の 戸 を 開け て 掌 に のる 余呉 の 湖
露,露 の 灯 の 陽 と さ しか はる 牛乳 店
露,露 の 葉 の それぞれ に 日 は 力 帯び
すみれ,老年 や 夢 の はじめ の すみれ 道
椿山,蝋色 の 顔 の ゆき 交 ふ 椿山
寒 牡丹,藁 の 先 いつも 吹か れ て 寒 牡丹
蓬原,佇つ 影 の 日 へ 歩み 出す 蓬原
曼珠沙華,曼珠沙華 噴く 火 を 山 の 際 に まで
夏至,泛子 沈む 水 の くぼみ も 夏至 の 昼
涅槃会,涅槃会 に 佳人 の まじる 日 の 翳り
菫,菫 まで 二タ 足 とん で 夕 渚
薔薇 園,薔薇 園 の 鉄柵 に 手 を ふれ て ゆく
白露,閾 を すべる 雨戸 いくつ も 白露 の 日
春 霰,鮨 にぎる 手 が ガラス 越し 春 霰
いちじく,いちじく も 九月 半ば の 影 つくる
稲光,い な びかりひとと 逢 ひき し 四肢 てらす
こう ろ ぎ,こ ほろ ぎのうかべる 水 を 地 に 流す
春 夕 焼,さきがけ て わが 部屋 灯す 春 夕 焼
さつき,さつき 先 づ 濡れそぼち 芝 濡れ に けり
夕 焼,しづか なる 時 経 て 夕 焼身 に 至る
牡丹,しづか にて ぼう たん に 時 経 つつ あり
初日,たたみ 目 の ゆがみ し 国旗 初日 に 出す
雪,たまさか の 雪 なり 出 で て 髪 ぬらす
炎暑,つよき 火 を 焚き て 炎暑 の 道 な ほす
鵙,はや 朝 の 心 とが れ り 雨 の 鵙
ビール,ビール ほろ苦し 女傑 と なり きれ ず
台風,ひたすら に 赤し 颱風 前 の 薔薇
晩夏,ひとり 身 に いきなり ともる 晩夏 の 灯
花,ふたり づつふたりづつ 花 の 中 に 入る
桃 の 花,もも さくら 咲き 起き伏し の 異 ら ず
冬日,一 度 だけ の 波 音 冬日 昏れ に けり
稲 雀,稲 雀 波うつ 山 に むか ひ 飛ぶ
冬,駅 の 鏡 明るし 冬 の 旅 うつす
涼し,炎 曇 いま わが家 は 厠 のみ 涼し
晩夏,縁 に 垂らす わが 足 大いなる 晩夏
春 の 鴉,寡婦 ふた リ 歩む 吉野 の 春 鴉
鶏頭,寡婦 われ に 起ち て も 臥 て も 鶏頭 燃 ゆ
花曇,花ぐもり 臓腑 おもたき 牛 あゆむ
落花,花吹雪 いづれ も 広き 男 の 胸
柿,柿 耀 り て 牛 に しづか な 刻 うつる
寒 夕 焼,寒 夕 焼 反り身 に 魚 の 焼か れ 居り
蛾,眼 を 張れる 蛾 や 硝子 戸 を 雨 垂 り て
雁,雁 なき て ひとり の 母 を 老い し むや
喫泉,喫泉 に 口 あまやかす 雪 の なか
寒 の 暮,串 に さす 魚 や はら かし 寒 の 暮
栗 の 花,栗 咲く 香 に まみれ て 寡婦 の 寝 ね がたし
寒 の 河,鶏 の 血 を 河岸 に 垂らせ り 寒 の 河
月光,月光 に 踏み入る ふく ら はぎ 太し
鶏頭,犬 が ゐ て 鶏頭 の 地 の やや 濡 るる
枯野,枯野 に 出 て なほ 喧しき 女学生
枯野,枯野 来し 水 に 夜業 の 手 を 洗 ふ
春 の 水,腰 太く 腕 太く 春 の 水 を のむ
苺,子 が なく て 苺 ミルク の 匙 な むる
寒 の 土,紙屑 を たき て 音 なし 寒 の 土
七月,七月 の 家 ゆるが せ て 汽車 黒し
霰,叱ら れ て 帰る 霰 の 石畳
雪,手鏡 の 指紋 浮きで て 雪 ふらす
秋風,秋風 や 盛装 ゆるむ ひと の 前
秋 の 日,秋 陽 照らし 出す 盛装 の 一 汚点
四月,宿 の 畳 に べつ たり 坐る 四月 か な
春 の 暮,春 の くれ 夫 なき 家 に 帰り くる
春 昼,春 の 昼 匙 おち て よき 音 た つる
春雪,春雪 に 呼ぶ子 を もた ず 立ち 眺 む
蟬,初 蟬 や かがやき そめ し 水 の いろ
初日,初日 さす 戦後 の 畳 や はら かし
雪 夜,畳 の 目 粗し 雪 夜 を か へ りき て
枯木,触る る もの なく て 枯枝 穹 に 張り
雪,寝 ね 足り て ちかぢかと 見る 枝 の 雪
新樹,新樹 ゆき くろき 仏 を をろがめ る
新樹,新樹 透く 夕陽 や 奈良 の 粗壁 に
台風,人 の 眸 の 細く 鋭し 颱風 後
枯野,水筒 の ぬく み に 手 触れ 枯野 中
笹 鳴,酔ひ し 顔 母 に 見 られ ぬ 笹 鳴ける
春 嵐,酔ひ たく て のむ 酒 辛し 春 嵐
雛 の 夜,雛 の 夜 の 猫 踏み 歩く 屋根 の 上
稲 雀,盛装 の 紐 いく す ぢ や 稲 雀
雪空,雪空 の ものうく て 貨車 うごき 出す
雪,雪 積む や しづか に つつむ こころ の 喪
深雪,雪 墜ち て 深雪 に にぶき 音 うまる
藤 の 花,窓 あき し まま 藤 の 夜 と なり に けり
雪,窓 帷 の 重く て 雪 の ふる 夜 なり
蜂,足 垂らす 蜂 と 親しき 時 しばし
暖炉,他郷 にて 駅 の 煖炉 に すぐ 寄ら ず
懐炉,他郷 にて 懐炉 しだい に あたたかし
桜,遅 ざく ら 夕陽 どの 部屋 に も 入り て
冬,冬 の 松 搖れ て は 母 の こ ゑ 奪 ふ
冬 の 鵙,冬 鵙 や 綺羅 を 野道 に かがやかす
凍,凍 の 夜 も 鰈 の 腹 は 白 からむ
寒 灯,湯 ざめせし 貌寒 灯 の 下 過 ぐる
春 ふかし,湯 の 宿 に 髪 を 垂らし て 春 ふかし
寒 に 入る,鍋 の 中 に や はら か きもの 寒 に 入る
皐月,濡れ わたり さ つき の 紅 の しづ もれる
浴衣,濃き 浴衣 き て 夜祭 の 灯 の なか に
梅雨,梅雨 ちかし 鏡 の 裏 に 猫 の こ ゑ
梅雨,梅雨 昏 し 腰 揺り て 牛 歩き 出す
手袋,皮 手袋 の 匂 ひ が われ を へだて ゐる
月光,飛べ ど 飛べ ど 雁 月光 を 逃れ 得 ず
きりぎりす,膝 に さす 朝 の 陽 つよし きりぎりす
蚊,風 荒き 夜 の 青 蚊帳 の 中 に 入る
風邪,風邪 の 身 に ながき 夕ぐれ き たり けり
風邪,風邪 の 身 の ほてり や 透き し 雨 衣 の なか
粉雪,鮒 煮え て くれ ば 粉雪 と なり に けり
聖夜,頁 剪 り は なつ を われ の 聖夜 と す
風邪,壁 うつす 鏡 に 風邪 の 身 を 入る る
冬,別れ 来 て 冬 の 鏡 に おのれ 恃 す
母 の 日,母 の 日 の 母 の こまかき 柄 を 択 る
冬 の 雁,母 起ち て ともす 灯 ちさ し 冬 の 雁
鵙,猛る 鵙 この 身 この まま 老い ゆく か
焚き火,門 に 佇ち 焚火 の 群 に 近 よら ず
雷,夜 の 雷 身辺 に 師 の 封書 おく
春 の 蟬,欲情 や とぎれとぎれ に 春 の 蟬
炉,炉 の 灰 に 昼 の 陽 が 射す ひと 待て ば
炉,炉 火 も え つぎ たやすく ひと 日 たち に けり
秋 の 蜂,老 蜂 の 窓 より 入り て 出 で ゆか ず
六月,六月 の 雲 あわただし 大 庇
曼珠沙華,曼珠沙華 の 隙 なき 構 へ 根 より 抜く
夾竹桃,夾竹桃 花 の を はり の 海 荒 るる
鵙,蝙蝠傘 の 裡 鮮 し や 鵙 の 雨
台風,颱風 外れ 月夜 の 貨車 として 進む
鵙,鵙 の 昼 何せ ば 心 やすまら む
鵙,鵙 鳴け り 工場 金属 音 の 中
萍,あかつき の 萍 たたく 山 の 雨
雛,あし の う ら から くる や はら か さ 雛 の 前
野分,あ なう ら の ひ や やけ き 日 の 夜 の 野分
雲雀,うつむき て ゆき もどる 日々 雲雀 鳴く
春着,かの 壁 に か ゝ れる 春 著 焼け 失せ し
雁,かり が ね の しづか さ を へだて へ だ て 啼く
雁,かり が ね や 手足 つめたき まま ねむる
きりぎりす,きりぎりす 足元 の 草 直立 し
二 日,くれ かかる 二 日 の 壁 が ある ばかり
げんげ,げんげ 野 を 眺め て 居れ ど 夫 は なし
秋 の 暮,さしかかる ひとつ の 橋 の 秋 の 暮
すすき,すすき野 に 肌 あつき われ 昏れ むとす
晩夏,すでに 晩夏 草 ぬきんで て 昏れる 山
風邪,たちまち に あら れ 過ぎ ゆく 風邪 ご もり
青葉 騒,て の ひ ら の 水 の 珠玉 よ 青葉 騒
滝,とどろき の なか に 無音 の 神 の 滝
雁 わたる,ともし びのひとつは 我が家 雁 わたる
どんぐり,どんぐり の 落ち て 日 あたる 山 と なる
春 の 月,のみ 干す 酒 いま 春月 は 一 円 燈
啄木 忌,ひところ の われ を か へり み 啄木 忌
風邪,ひと ご ゑのなかのひと 日 の 風邪 ごこち
四月,ひと の 死 へ いそぐ 四月 の 水 の 色
火事,ひる の を ん な 遠火 事 飽か ず 眺め けり
蓼,ふり 止み て 再び はげし 蓼 の 雨
秋 の 蚊,ふるさと の 暗き 灯 に 吊る 秋 の 蚊
藤 の 花,ふるさと の 井戸 の くら がり 藤 散り こむ
秋 の 草,ふるさと の 秋草 高き 駅 に 佇つ
水中花,まじまじ と 子 が 見 て ひらく 水中花
柚子 湯,むつかしい 一 日 が 暮れ 柚子 湯 の 柚子
暑 さ,むらがり 咲く もの の 暑 さ よ 墓 過ぎ て
桃,わが 影 の 起き伏し 庭 に 桃 散り て
立秋,愛憎 を 母 に 放ち て 秋 に 入る
枯木,逢 ふところ まで いく たび も 枯木 過ぎ
枯蘆,葦 枯れる 流れ ぬ 水 の 端々 に
虻,虻 つれ て 水辺 を ま はる 老婆 の 午後
鮎,鮎 の 香 や 母 や すら かに ふるさと に
鮎 釣,鮎 釣り に 遠山 の 風樹 々 の 風
黍,井 を 汲む や 唐黍 わたる 風 荒し
雪 解 川,一 灯 の 限界 に 渦 雪 解 川
霞,一 本 の 杖 の 行手 に 夕 霞
枯野,一 枚 の 葉書 運ば れ 枯野 の 家
里芋,芋 を 剥く 裏口 遠く 波 を 見 て
萩,飲食 の かすか な 音 に 萩 昏れる
蚊,駅 柵 に 沿 ふ 窓 昼 の 蚊帳 たるむ
炎天,炎天 へ 遠山 を おく 竹 の 幹
雛 の 夜,縁 の 下 に 瓶 も たれ あ ひ 雛 の 夜
花 ざかり,遠い 炎 が 児 え 曇天 の 花 ざかり
旱,遠景 に 人馬 動い て 旱 川
水 争い,遠景 に 水 争 ひ を おく 日影
麦 を 蒔く,遠山 に 雲 ゆく ばかり 麦 を 蒔く
花,遠山 へ 喪服 を 垂らす 花 の 昼
黄 落,黄 落 の 奥 神鏡 は 闇 を 映し
合歓,沖 の 荒れ 合歓 は ねむり の 中 に ゐ て
牡丹,牡丹 生け て うすき 蒲団 に 臥 たり けり
虫,音 立て ぬ 虫 ゐ て 青む 夜 の 畳
夏 草,夏 草 の 丈 に 夫婦 の 息 沈む
夏 点前,夏 点前 水中 鯉 の ひ げ 動く
紅葉,家 裏 に 空 瓶 透い て 紅葉山
黒豆,火 に 仕 へ 母 黒豆 を 黒く 煮る
椿,火 の 椿 紙片 一 枚 空 を ゆく
花,花びら を 少し 吹き 入れ 日 の 格子
桐 の 花,花 桐 と 土蔵 の 月日 友 の 家
花 種 を 蒔く,花 種 を 蒔い て みつめる ただ の 土
花冷え,花冷え の 夜 は 眼 を ひらく 陶器 の 魚
晩夏,蚊 を 打ち し て の ひら 白く 夏 を はる
落椿,画展 出 て 点描 の 森 落椿
枯木,画鋲 ひとつ 枯木 に 光り 学園 祭
夜 の 秋,海 わたる 魂 ひとつ 夜 の 秋
花,海鳴り や 花 の こまかき 影 を 踏む
夏,街 の 灯 の グラス に 黄ばみ 裾 ひく 夏
柿,柿 の 色 脳裏 に 荒れ し 海 を 見る
寒 鯉,寒 鯉 の 平安 水 の 昏 さ に 馴れ
寒 夜,寒 夜 鮮 しこ つ ぷに 水 を 注ぐ とき
寒 夕 焼,寒 夕 焼 端 まで 塗ら ず 画布 の 紅
椿,眼 に 見え ぬ 糸 の 張ら れ て 白 椿
ヨット,眼前 に ヨツト 傾く 一 人 旅
冬ざれ,眼帯 や 片目 の 街 の 冬 ざる る
雁,雁 なく や 夜 ごと つめたき 膝 が しら
雁 わたる,雁 わたる 風 か 畳 に 輪ゴム 踏み
雁,雁 を きく 敷布 の 皺 を のばし つつ
菊,菊 咲い て 女 に 水 と 時間 澄む
桔梗,桔梗 挿す 壺 の 暗 さ を のぞい て から
盂蘭盆会,汲み おき の 水 に 夜 が くる 盆 の 家
水すまし,牛 の 鼻 の 影 の 近づく 水すまし
梅雨,牛 帰る 梅雨 の 黒 幹 いくつ も 見 て
枯野,魚 獲 て は 男 枯野 の 端 通る
枯菊,共に 焚か れ 枯菊 と 縄 似 て しまふ
日傘,峡 ふかく 日傘 曲折 し て くだる
桐 の 花,桐 の 花 ひびく もの みな 地 に 沈む
桐 の 花,桐 の 花 紅 の 夕日 は 人 去る 方
虹,銀 の 笛 ほし 滝 しぶき 虹 と なり
冬,空 瓶 透き 大人 ばかり の 家 の 冬
種 売り,空 罐 に たまる 雨水 種苗 店
月,月 あまり 清けれ ば 夫 を にくみ けり
月光,月光 の つきぬけ て くる 樹 の 匂 ひ
元日,元日 の 樹 々 あ を あ を と 暮れ に けり
落花,現し世 と 黄泉 の 境 の 花吹雪
青 麦,戸 の 隙 に 青 麦 光り 昼 の 箸
枯菊,枯菊 に 午前 の 曇り 午後 の 照り
枯菊,枯菊 の 終 の 香り は 火 の 中 に
枯菊,枯菊 も 芥 の ひとつ 水 に 浮き
枯山,枯山 に 見比べ て 買 ふ 鳩 の 笛
枯山,枯山 を き て 頂上 の 平ら な 水
秋 彼岸,口 むすぶ 鯉 み て 帰る 秋 彼岸
紅葉,紅葉 の 島 に 近寄り 寄ら ず 航 く
黒 蝶,黒 蝶 や 香水 つよき ひと と ゐ て
青嵐,黒 塗り の 箸 の 月日 に 青嵐
菜の花,菜の花 に 裏 戸 は いつも 明け はなた れ
菜種 菜,菜種 咲け ば しばらく 菜種 色 の 川
桜,桜葉 と なる や を みな の 衿 白し
海水 着,匙 音 を 立て て は 水着 家族 散る
さくら 散る,散る さくら 孤独 は いま に はじまら ず
獅子 舞,獅子舞 が 通り こぼれる 崖 の 土
桜,紙 の 桜 に 手 触れ て は 過ぎ 子 の 真昼
秋 の 日,時計 師 に 微塵 の 秋日 身 の ま はり
若楓,若楓 奔流 町 の 端 を 過ぎ
若葉,若葉 から まつ すぐ に 来る 朝 の 風
巴里 祭,手 の 影 の 皿 に 大きく 巴里 祭
春 疾風,樹 々 密 に 陽 を 梳り 春 疾風
秋 の 土,秋 の 土 鶏 のみ つむる もの 動く
秋 の 浜,秋 の 浜 貝 を 焼く 手 に 近く ゐる
秋 の 暮,秋 の 暮 鶏 は いつ まで 白 からむ
秋風,秋風 の 舟 底 白い 魚 ねかせ
秋風,秋風 の 窓 ひとつ づつしめゆけり
秋冷,秋冷 の 身 に 及ぶ まで 雨後 の 幹
十薬,十薬 の 花 の 近く の 灰 かぐら
春 の 暮,春 の 暮 川幅 を 水 流れ て は
春 怒 濤,春 怒 濤逆 光 の もの みな 動く
春 燈,春 燈 の もと 愕然 と 孤独 なる
蟬,初 蟬 や 水面 を 雲 の うつり つつ
夏座敷,書 を 重く 青年 通る 夏座敷
藤 の 花,女 の 心 触れあう て ゐ て 藤 垂 るる
冬 の 鵙,少年 に 白紙 おか れ て 冬 の 鵙
水すまし,少年 来 て 脚 ねばり だす 水すまし
鮎,床下 に 空 瓶 乾く 鮎 の 宿
松 の 芯,松 の 芯 み て いつ まで も 畳 の 上
鮎,焼 鮎 の 膳 より 吹か れ 箸 袋
晩夏,鐘 を 打ち 晩夏 の 雲 の 湧く を 待つ
月,燭 の 灯 に 月下 の 石 の ゆらぎ けり
神輿,神輿 来 て 戸口 を ふさぐ 婆 の 腰
泉,人声 の し て 泉 湧く 町 の 端
八重桜,人 長く 佇た せ 喪家 の 八重桜
緑陰,人 容れ て 緑陰 さわぐ ひと ところ
霧,厨房 の ナイフ 曇らす 山 の 霧
西日,水 に 浮く 蛾 が 生き て ゐ て 西日 さす
花冷え,水 も 洩らさ ぬ ひと と 対 き あふ 花 の 冷え
さくら 散る,水音 で 充たす 一 日 さくら 散る
水蜜 桃,水中 に なほ 水 はじく 水蜜 桃
花,水中 に 芯 とがる 花 少年 来 て
牡蠣 舟,水底 に 死 魚 の 骨 揺れ 牡蠣 舟 揺れ
秋 の 暮,水 入れ て 壺 に 音 する 秋 の 暮
水餅,水餅 の ま はり いつも の 音 はじまる
盆,水甕 に 昼 が かぶさる 盆 の 村
野分,水甕 の 水 に 触れ ゆく 野分 の 端
睡蓮,睡蓮 の 純白 の こす 山 の 暮
鶏頭,衰 へ し 犬 鶏頭 の 辺 を 去ら ず
雛 の 日,雛 の 日 の 街 の 端 のみ 日 が あたる
雛,雛 段 に 半日 おか れ 母 の 眼鏡
冬 霞,生きもの の すれ 違 ふ 眼 や 冬 霞
杜若,声 と ほ く 水 の くも れる 杜若
青 萱,青 萱 を 伝 ふ 人声 舟 寄せる
青 芒,青 芒 冲 に 力 の 船 通る
枯野,絶えず 動き 枯野 に ぬくい 牛 の 舌
蟬,蟬 なく や 袖 に 射し 入る 夕 薄日
雛 の 夜,川面 に 映る ひとつ の 灯 雛 の 夜
冬 の 潮,船室 の 鏡 冬 潮時 々 耀 る
秋 扇,祖母 の 声 も ともに たたん で 秋 扇
元日,喪 に こもり 元日 の 陽 を わが 膝 に
実 南天,喪 の 家 に 墨 磨る 手 見え 実 南天
寒気,掃き出し て 仏間 すぐさま 寒気 満つ
蝶,相 ふれ て ひそ や か に あり 暁 の 蝶
麦畑,窓 外 に 視線 や はら ぐ 麦畑
さくら,窓 杳 く 野崎 の さくら 咲き に けり
草 の 種,草 の 種 こぼす 犬 ゐ て 廃寺 院
草 紅葉,草 紅葉 ひと の まなざし 水 に 落つ
霜,霜 きびし 母 娘 こもれる 深 廂
あやめ,足 垂れ て あやめ の 水 を 濁し けり
蟻地獄,待つ もの の 静けさ に ゐ て 蟻地獄
枯山水,苔 の ぬく み は 男 の ぬく み 枯山水
大寒,大寒 の 河 みなぎり て 光り けり
冷 ゆ,大木 の 根元 の 冷え の ひもすがら
滝 壺,滝 壺 の 青 を 藍 と し 雲 はしる
栗 の 花,濁る 水 は どこ か へ 流し 栗 の 花
短夜,短夜 の 畳 に 厚き あし の うら
暖炉,暖炉 燃え 眼前 の 湖 すぐ 曇る
竹 皮 を 脱ぐ,竹 の 皮 ひ ら と 地上 に 人 の 酔
竹 皮 を 脱ぐ,竹 の 皮 落ち て しばらく 日 の 中 に
蚊,昼 あつく 蚊帳 吊る 紐 を 垂らし たり
寒椿,朝 の 空気 静か に 流れ 寒椿
枯木,通り すぎ 心 に 触れ し 枯木 あり
梅雨 明,庭石 に 梅雨 明け の 雷 ひびき けり
